Date of term,Appointee,TermBeginDate,TermEndDate
"Feb. 1, 19362 - Jan. 31, 1948",Marriner S. Eccles,"Feb. 1, 1936","Jan. 31, 1948"
"Apr. 15, 1948 - Mar. 31, 1951",Thomas B. McCabe,"Apr. 15, 1948","Mar. 31, 1951"
"Apr. 2, 1951 - Jan. 31, 1970","Wm. McC. Martin, Jr","Apr. 2, 1951","Jan. 31, 1970"
"Feb. 1, 1970 - Jan. 31, 1978",Arthur F. Burns,"Feb. 1, 1970","Jan. 31, 1978"
"Mar. 8, 1978 - Aug. 6, 1979",G. William Miller,"Mar. 8, 1978","Aug. 6, 1979"
"Aug. 6, 1979 - Aug. 11, 1987",Paul A. Volcker,"Aug. 6, 1979","Aug. 11, 1987"
"Aug. 11, 1987 - Jan. 31, 2006",Alan Greenspan,"Aug. 11, 1987","Jan. 31, 2006"
"Feb. 1, 2006 - Jan. 31, 2014",Ben S. Bernanke,"Feb. 1, 2006","Jan. 31, 2014"
"Feb. 3, 2014 - Feb. 3, 2018",Janet L. Yellen,"Feb. 3, 2014","Feb. 3, 2018"
"Feb. 5, 2018 -",Jerome H. Powell,"Feb. 5, 2018",
